date,currency_date,name,local_price,dollar_ex,dollar_price
2000-04-01,ARS,Argentina,2.50,1.00,2.50
2000-04-01,AUD,Australia,2.59,1.68,1.54
2000-04-01,BRL,Brazil,2.95,1.79,1.64
